time, mass, displacement x, displacement y, displacement, velocity x, velocity y, velocity, acceleration x, acceleration y, acceleration
2.84, 10, 83.92203, 121.0231, 147.2736, 33.10001, 33.22757, 46.90076, 2.5, -6.610001, 7.066973, 
2.88, 10, 85.24803, 122.347, 149.1174, 33.2, 32.96317, 46.78473, 2.5, -6.610001, 7.066973, 
2.92, 10, 86.57803, 123.6602, 150.9556, 33.3, 32.69876, 46.67011, 2.5, -6.610001, 7.066973, 
2.96, 10, 87.91203, 124.9629, 152.7882, 33.4, 32.43436, 46.55693, 2.5, -6.610001, 7.066973, 
3, 10, 89.25003, 126.2549, 154.6153, 33.5, 32.16996, 46.4452, 2.5, -6.610001, 7.066973, 
3.04, 10, 90.59203, 127.5365, 156.4368, 33.6, 31.90556, 46.33492, 2.5, -6.610001, 7.066973, 
3.08, 10, 91.93803, 128.8074, 158.2528, 33.7, 31.64116, 46.22611, 2.5, -6.610001, 7.066973, 
3.12, 10, 93.28803, 130.0677, 160.0634, 33.8, 31.37676, 46.11877, 2.5, -6.610001, 7.066973, 
3.16, 10, 94.64203, 131.3175, 161.8685, 33.89999, 31.11236, 46.01292, 2.5, -6.610001, 7.066973, 
3.2, 10, 96.00003, 132.5567, 163.6683, 33.99999, 30.84796, 45.90856, 2.5, -6.610001, 7.066973, 
3.24, 10, 97.36203, 133.7854, 165.4627, 34.09999, 30.58356, 45.80571, 2.5, -6.610001, 7.066973, 
3.28, 10, 98.72803, 135.0034, 167.2518, 34.19999, 30.31916, 45.70438, 2.5, -6.610001, 7.066973, 
3.32, 10, 100.098, 136.2109, 169.0356, 34.29999, 30.05476, 45.60458, 2.5, -6.610001, 7.066973, 
3.36, 10, 101.472, 137.4078, 170.8142, 34.39999, 29.79036, 45.50631, 2.5, -6.610001, 7.066973, 
3.4, 10, 102.85, 138.5941, 172.5876, 34.49998, 29.52596, 45.4096, 2.5, -6.610001, 7.066973, 
3.44, 10, 104.232, 139.7699, 174.3558, 34.59998, 29.26156, 45.31443, 2.5, -6.610001, 7.066973, 
3.48, 10, 105.618, 140.9351, 176.1189, 34.69998, 28.99716, 45.22084, 2.5, -6.610001, 7.066973, 
3.52, 10, 107.008, 142.0897, 177.8769, 34.79998, 28.73276, 45.12881, 2.5, -6.610001, 7.066973, 
3.56, 10, 108.402, 143.2337, 179.6299, 34.89998, 28.46836, 45.03838, 2.5, -6.610001, 7.066973, 
3.6, 10, 109.8, 144.3671, 181.3778, 34.99998, 28.20396, 44.94954, 2.5, -6.610001, 7.066973, 
3.64, 10, 111.202, 145.49, 183.1208, 35.09998, 27.93956, 44.86231, 2.5, -6.610001, 7.066973, 
3.68, 10, 112.608, 146.6023, 184.8589, 35.19997, 27.67516, 44.7767, 2.5, -6.610001, 7.066973, 
3.72, 10, 114.018, 147.704, 186.592, 35.29997, 27.41076, 44.6927, 2.5, -6.610001, 7.066973, 
3.76, 10, 115.432, 148.7952, 188.3203, 35.39997, 27.14635, 44.61034, 2.5, -6.610001, 7.066973, 
3.8, 10, 116.85, 149.8757, 190.0438, 35.49997, 26.88195, 44.52962, 2.5, -6.610001, 7.066973, 
3.84, 10, 118.272, 150.9457, 191.7626, 35.59997, 26.61755, 44.45055, 2.5, -6.610001, 7.066973, 
3.88, 10, 119.698, 152.0051, 193.4765, 35.69997, 26.35315, 44.37315, 2.5, -6.610001, 7.066973, 
3.92, 10, 121.128, 153.054, 195.1859, 35.79996, 26.08875, 44.29741, 2.5, -6.610001, 7.066973, 
3.96, 10, 122.562, 154.0922, 196.8905, 35.89996, 25.82435, 44.22335, 2.5, -6.610001, 7.066973, 
4, 10, 124, 155.1199, 198.5905, 35.99996, 25.55995, 44.15097, 2.5, -6.610001, 7.066973, 
